Num,ClusterLabelK11_Takahashietal2019,Code,Lon,Lat,Ve_wrt_S01R,Vn_wrt_S01R,sVe,sVn
182,7,TUCN,121.49613,24.57484,6.874366301,8.458905837,0.6,0.4
141,7,NIUT,121.56158,24.63478,5.868986284,5.868986284,0.6,0.6
83,7,FUSN,121.33146,24.79904,0.095814636,6.099247458,0.4,0.4
187,7,WIPN,121.05855,24.67463,-2.490815808,5.568288481,0.4,0.4
146,7,PAOS,120.95028,24.71492,-1.882066901,4.954576085,0.5,0.4
132,7,KSHI,121.17603,24.77666,-2.206288199,4.818951378,0.9,0.5
179,7,TOFN,120.9248,24.66204,-2.1726978,3.358479458,0.3,0.2
162,7,SANI,120.76873,24.41435,-2.316714376,3.622545307,0.5,0.4
97,7,GS15,120.9905,24.76665,-1.19946634,3.605728844,0.2,0.2
86,7,GS03,121.04407,24.7766,-1.512919088,4.025056004,0.6,0.6
172,7,STA1,120.97926,24.6356,-1.512786575,4.344131303,0.5,0.5
98,7,GS16,121.04161,24.74787,-1.603431418,4.311497152,0.3,0.2
173,7,SUAN,120.29988,23.47757,-3.795397604,0.897193975,0.4,0.3
130,7,ICHU,120.2793,23.36066,-4.959086594,1.190571356,0.3,0.3
74,7,CHYN,120.2908,23.39327,-4.695108484,0.997976116,0.4,0.2
77,7,DAHU,120.87183,24.42288,-4.838067151,2.61593315,0.4,0.5
102,7,GS22,120.6039,24.09133,-2.999231344,1.601440396,0.2,0.2
144,7,PAKU,120.63603,23.91568,-4.490131348,1.69667925,0.4,0.2
106,7,GS26,120.5787,23.82489,-4.371281572,1.982901263,0.3,0.2
166,7,SGUN,120.69188,24.27163,-3.626781998,1.912185225,0.3,0.2
107,7,GS27,120.64631,23.87021,-3.582466114,1.99397506,0.3,0.2
149,7,PINT,120.64056,23.75606,-3.681673728,2.587523634,0.4,0.3
139,7,MIAO,120.81026,24.58345,-3.690150499,2.396411754,0.4,0.3
103,7,GS23,120.64816,24.0937,-3.622545307,2.316714376,0.3,0.2
114,7,GS37,120.7154,24.3286,-3.874100355,2.08598812,0.3,0.3
105,7,GS25,120.64059,23.98667,-3.987725045,2.293043603,0.3,0.3
71,7,CHKU,120.09275,23.05584,-2.161293028,-0.78664633,0.2,0.2
135,7,LIYU,120.7818,24.34306,-1.775314083,-0.297085691,0.7,0.5
127,7,HOKN,120.13488,23.18838,-1.876607847,-0.297225484,0.2,0.2
70,7,CHIN,120.58215,24.27101,-0.313431361,-0.625907966,0.7,1
153,7,PUSN,120.52011,23.96494,-1.02133441,-0.408504619,1.7,1.4
138,7,MATZ,119.92306,26.16939,-0.915149534,-0.61032887,0.3,0.2
137,7,LUKN,120.43513,24.06001,-2.011427239,0.603457092,0.3,0.2
104,7,GS24,120.52644,24.02564,-1.7191714,0.808980654,0.3,0.2
116,7,GS39,120.5296,24.1844,-1.199526988,0.900630338,0.3,0.2
115,7,GS38,120.6006,24.2798,-1.485577323,0.594188537,0.3,0.2
101,7,GS21,120.51241,24.09648,-1.378703009,0.590912864,0.2,0.2
85,7,GS02,120.98234,24.80972,-2.195285661,1.894919752,0.4,0.3
181,7,TSIO,120.7041,24.47279,-1.767766953,1.767766953,0.3,0.2
117,7,GS40,120.5763,24.1812,-1.717718777,1.816436677,0.2,0.3
177,7,TEGS,120.65498,24.35621,-1.883463289,1.487469676,0.2,0.2
161,7,SALU,120.5783,24.14445,-1.794715417,1.59342291,0.3,0.2
92,7,GS10,121.46155,25.14615,-1.48492424,1.48492424,0.5,0.4
113,7,GS36,120.6253,24.362,-1.668270703,1.275489263,0.3,0.2
73,7,CHUA,120.5573,24.06605,-1.565839758,1.07617185,0.3,0.4
191,7,YAME,121.18529,24.90845,-0.20164167,3.394015415,0.3,0.2
96,7,GS14,120.95945,24.80322,-0.493607548,2.857682906,0.2,0.2
93,7,GS11,121.49877,25.13357,-0.099808304,2.598083583,0.4,0.3
128,7,HSIN,121.01425,24.82775,-0.60496646,2.322502009,0.3,0.2
133,7,KYIN,121.08042,25.04105,-0.601411599,1.907433901,0.3,0.2
129,7,HUWE,120.28662,23.7294,-0.690596398,1.876986046,0.2,0.2
165,7,SFON,121.01016,24.93289,-0.408504619,1.02133441,0.4,0.3
78,7,ERLN,120.41955,23.79759,-0.099410851,1.496702202,0.8,0.4
176,7,TANS,121.42689,25.1815,1.813368792,-2.514297839,1.9,1.2
198,7,YSAN,120.08598,23.14655,0.197261725,-1.386033121,0.3,0.2
195,7,YM04,121.58547,25.1876,0.792733869,-1.389810423,1.3,2
124,7,GS69,121.37797,24.96777,2.71230571,2.212102559,1.9,1.5
192,7,YM01,121.53954,25.17888,2.412666954,1.60904884,0.7,0.5
158,7,S101,121.61385,25.04045,2.381678923,1.984340068,0.3,0.3
136,7,LNKO,121.37818,25.07637,1.409960392,3.420820324,0.4,0.2
94,7,GS12,121.38276,25.05303,1.282754294,3.256461488,0.4,0.3
67,7,BANC,121.4421,24.99765,1.594831865,2.889032939,0.3,0.4
95,7,GS13,121.45224,25.02001,2.07436428,3.063823238,0.6,0.4
65,7,ANKN,121.52472,24.9591,2.07436428,3.063823238,0.3,0.3
189,7,WUKU,121.40066,25.11728,1.280301256,2.262924809,0.3,0.3
90,7,GS08,121.50149,25.20373,1.08954706,2.579319136,0.5,0.6
180,7,TSHI,121.63276,25.25691,1.767766953,1.767766953,0.4,0.3
126,7,HERI,121.58092,25.29444,1.399372085,1.697574083,0.4,0.3
151,7,PLIN,121.71395,24.93362,1.383996381,0.987195025,0.7,0.6
163,7,SANJ,121.50087,25.26079,0.590912864,1.378703009,0.3,0.3
152,7,PNCY,122.07944,25.6275,0.67571372,0.867992493,0.6,0.4
82,7,FUNY,120.32017,23.92231,0.989949494,0.989949494,0.3,0.2
157,7,S01R,119.59237,23.65527,0,0,0.2,0.2
145,7,PANG,119.56374,23.5652,0.776236581,-0.193537516,0.2,0.2
80,7,FLON,121.93748,25.02037,4.231661762,-1.205420562,0.4,0.7
100,7,GS19,121.67981,25.07174,4.41057078,1.306470586,0.4,0.5
79,7,FIVE,121.78107,25.07105,3.978212478,0.991879772,0.3,0.4
197,7,YNTS,121.77893,24.86174,4.326321593,0.801836312,0.4,0.4
168,7,SLNP,121.63563,24.75311,4.13995457,0.707655394,0.3,0.3
185,7,WANL,121.63756,25.16938,3.605728844,1.19946634,0.4,0.3
91,7,GS09,121.65193,25.20861,3.207269553,1.401221614,0.3,0.3
196,7,YM05,121.56548,25.164,3.288924173,1.197070502,0.6,0.4
175,7,TAIP,121.67317,25.03452,3.363136108,1.284256798,0.4,0.3
194,7,YM03,121.6049,25.14661,3.548532489,0.606561766,0.5,0.4
193,7,YM02,121.56069,25.14838,3.193685531,0.200929662,0.5,0.5
225,8,KULN,120.50702,23.33098,-23.05854482,3.98290228,0.4,0.3
226,8,LAIG,120.7399,23.5294,-26.63754796,4.985081602,0.5,0.5
228,8,LOYE,120.7012,23.4686,-23.9302866,5.700998426,0.5,0.5
202,8,C002,120.57719,23.36174,-25.30252363,6.402522771,0.3,0.4
